cohort	condition_value	condition_label	metric	bin_left_log10	bin_right_log10	count	n_total
technical_replicate	1.0	replicate 1	accessible_patch_size	2.324004516557727	2.342004767477601	36	1877
technical_replicate	1.0	replicate 1	accessible_patch_size	2.342004767477601	2.3600050183974743	35	1877
technical_replicate	1.0	replicate 1	accessible_patch_size	2.3600050183974743	2.3780052693173483	30	1877
technical_replicate	1.0	replicate 1	accessible_patch_size	2.3780052693173483	2.396005520237222	36	1877
technical_replicate	1.0	replicate 1	accessible_patch_size	2.396005520237222	2.414005771157096	36	1877
technical_replicate	1.0	replicate 1	accessible_patch_size	2.414005771157096	2.4320060220769695	30	1877
technical_replicate	1.0	replicate 1	accessible_patch_size	2.4320060220769695	2.450006272996843	35	1877
technical_replicate	1.0	replicate 1	accessible_patch_size	2.450006272996843	2.468006523916717	17	1877
technical_replicate	1.0	replicate 1	accessible_patch_size	2.468006523916717	2.4860067748365906	34	1877
technical_replicate	1.0	replicate 1	accessible_patch_size	2.4860067748365906	2.504007025756464	23	1877
technical_replicate	1.0	replicate 1	accessible_patch_size	2.504007025756464	2.522007276676338	22	1877
technical_replicate	1.0	replicate 1	accessible_patch_size	2.522007276676338	2.5400075275962117	18	1877
technical_replicate	1.0	replicate 1	accessible_patch_size	2.5400075275962117	2.5580077785160853	28	1877
technical_replicate	1.0	replicate 1	accessible_patch_size	2.5580077785160853	2.5760080294359593	18	1877
technical_replicate	1.0	replicate 1	accessible_patch_size	2.5760080294359593	2.594008280355833	29	1877
technical_replicate	1.0	replicate 1	accessible_patch_size	2.594008280355833	2.6120085312757064	28	1877
technical_replicate	1.0	replicate 1	accessible_patch_size	2.6120085312757064	2.6300087821955804	33	1877
technical_replicate	1.0	replicate 1	accessible_patch_size	2.6300087821955804	2.648009033115454	21	1877
technical_replicate	1.0	replicate 1	accessible_patch_size	2.648009033115454	2.6660092840353276	17	1877
technical_replicate	1.0	replicate 1	accessible_patch_size	2.6660092840353276	2.6840095349552016	20	1877
technical_replicate	1.0	replicate 1	accessible_patch_size	2.6840095349552016	2.702009785875075	24	1877
technical_replicate	1.0	replicate 1	accessible_patch_size	2.702009785875075	2.720010036794949	13	1877
technical_replicate	1.0	replicate 1	accessible_patch_size	2.720010036794949	2.7380102877148227	13	1877
technical_replicate	1.0	replicate 1	accessible_patch_size	2.7380102877148227	2.7560105386346967	19	1877
technical_replicate	1.0	replicate 1	accessible_patch_size	2.7560105386346967	2.7740107895545703	21	1877
technical_replicate	1.0	replicate 1	accessible_patch_size	2.7740107895545703	2.792011040474444	16	1877
technical_replicate	1.0	replicate 1	accessible_patch_size	2.792011040474444	2.810011291394318	21	1877
technical_replicate	1.0	replicate 1	accessible_patch_size	2.810011291394318	2.8280115423141914	18	1877
technical_replicate	1.0	replicate 1	accessible_patch_size	2.8280115423141914	2.846011793234065	15	1877
technical_replicate	1.0	replicate 1	accessible_patch_size	2.846011793234065	2.864012044153939	20	1877
technical_replicate	1.0	replicate 1	accessible_patch_size	2.864012044153939	2.8820122950738125	14	1877
technical_replicate	1.0	replicate 1	accessible_patch_size	2.8820122950738125	2.900012545993686	16	1877
technical_replicate	1.0	replicate 1	accessible_patch_size	2.900012545993686	2.91801279691356	13	1877
technical_replicate	1.0	replicate 1	accessible_patch_size	2.91801279691356	2.9360130478334336	15	1877
technical_replicate	1.0	replicate 1	accessible_patch_size	2.9360130478334336	2.954013298753307	27	1877
technical_replicate	1.0	replicate 1	accessible_patch_size	2.954013298753307	2.972013549673181	11	1877
technical_replicate	1.0	replicate 1	accessible_patch_size	2.972013549673181	2.9900138005930548	15	1877
technical_replicate	1.0	replicate 1	accessible_patch_size	2.9900138005930548	3.0080140515129283	7	1877
technical_replicate	1.0	replicate 1	accessible_patch_size	3.0080140515129283	3.0260143024328023	8	1877
technical_replicate	1.0	replicate 1	accessible_patch_size	3.0260143024328023	3.0440145533526763	10	1877
technical_replicate	1.0	replicate 1	accessible_patch_size	3.0440145533526763	3.0620148042725495	8	1877
technical_replicate	1.0	replicate 1	accessible_patch_size	3.0620148042725495	3.0800150551924235	5	1877
technical_replicate	1.0	replicate 1	accessible_patch_size	3.0800150551924235	3.0980153061122975	8	1877
technical_replicate	1.0	replicate 1	accessible_patch_size	3.0980153061122975	3.116015557032171	11	1877
technical_replicate	1.0	replicate 1	accessible_patch_size	3.116015557032171	3.1340158079520446	14	1877
technical_replicate	1.0	replicate 1	accessible_patch_size	3.1340158079520446	3.1520160588719186	10	1877
technical_replicate	1.0	replicate 1	accessible_patch_size	3.1520160588719186	3.170016309791792	13	1877
technical_replicate	1.0	replicate 1	accessible_patch_size	3.170016309791792	3.1880165607116657	4	1877
technical_replicate	1.0	replicate 1	accessible_patch_size	3.1880165607116657	3.2060168116315397	4	1877
technical_replicate	1.0	replicate 1	accessible_patch_size	3.2060168116315397	3.2240170625514133	5	1877
technical_replicate	1.0	replicate 1	accessible_patch_size	3.2240170625514133	3.242017313471287	7	1877
