dataset	offset_bp	p_in_nuc	denom
m6a_200 sperm	546	0.09672060280928371	179870
m6a_200 sperm	547	0.09666944777037995	179860
m6a_200 sperm	548	0.09662150862257361	179844
m6a_200 sperm	549	0.09657345625747064	179829
m6a_200 sperm	550	0.09649346976077033	179817
m6a_200 sperm	551	0.0964155925866062	179810
m6a_200 sperm	552	0.09634262148112852	179797
m6a_200 sperm	553	0.09628431522922529	179782
m6a_200 sperm	554	0.09623888413476342	179773
m6a_200 sperm	555	0.09617559525202665	179759
m6a_200 sperm	556	0.09614812776922513	179746
m6a_200 sperm	557	0.09615500503915267	179723
m6a_200 sperm	558	0.0961943729821392	179706
m6a_200 sperm	559	0.09623464309214055	179688
m6a_200 sperm	560	0.09632191723532743	179672
m6a_200 sperm	561	0.0963661535382201	179661
m6a_200 sperm	562	0.09637513236758792	179646
m6a_200 sperm	563	0.09634328265624621	179636
m6a_200 sperm	564	0.09627341967144894	179625
m6a_200 sperm	565	0.09618764283076134	179616
m6a_200 sperm	566	0.09611331643126284	179596
m6a_200 sperm	567	0.0960371783386511	179584
m6a_200 sperm	568	0.0959842692147348	179571
m6a_200 sperm	569	0.09592570907650287	179556
m6a_200 sperm	570	0.09588428228893138	179538
m6a_200 sperm	571	0.09582513285366799	179529
m6a_200 sperm	572	0.09578570768702425	179513
m6a_200 sperm	573	0.09573651183711088	179499
m6a_200 sperm	574	0.09571691344532933	179487
m6a_200 sperm	575	0.09567370007658142	179477
m6a_200 sperm	576	0.09559714561723981	179462
m6a_200 sperm	577	0.09553831446236533	179448
m6a_200 sperm	578	0.0954589350933598	179433
m6a_200 sperm	579	0.09536340561194923	179422
m6a_200 sperm	580	0.09524742277522982	179406
m6a_200 sperm	581	0.0951922606240202	179396
m6a_200 sperm	582	0.09510253185142745	179375
m6a_200 sperm	583	0.09503965622300783	179354
m6a_200 sperm	584	0.09499705271429752	179343
m6a_200 sperm	585	0.09499474996204924	179326
m6a_200 sperm	586	0.09499760548137605	179314
m6a_200 sperm	587	0.09501346839065461	179302
m6a_200 sperm	588	0.09500579619674644	179285
m6a_200 sperm	589	0.0949957827436303	179267
m6a_200 sperm	590	0.09500607110305644	179251
m6a_200 sperm	591	0.09502375508112582	179240
m6a_200 sperm	592	0.0950554168833239	179226
m6a_200 sperm	593	0.095087233767317	179213
m6a_200 sperm	594	0.09514908006012801	179200
m6a_200 sperm	595	0.09517134051629257	179193
m6a_200 sperm	596	0.09514986128605162	179183
m6a_200 sperm	597	0.09507803993318448	179174
