tf	group	metric	n_peaks	mean	median	mean_diff	signed_effect	mw_u_stat	mw_pvalue	log10_pvalue	rank	q	category	ctx
USF2	architectural	lacuna_at	368	0.0991006838524506	0.0909090909090909	0.0114716625115272	0.0114716625115272	569172.0	0.0012139510182092	2.915798836284326	30	0.0034325511549363583	architectural_universal	promoter
LHX1	SSC	lacuna_at	572	0.0956115486839817	0.0909090909090909	0.0079825273430582	0.0079825273430582	869075.0	0.0016791198953341	2.774918292532	31	0.004589594380579874	dev_gene_associated	promoter
ETV5	SSC	lacuna_at	2027	0.0922537088302044	0.0833333333333333	0.004624687489281	0.004624687489281	2997431.0	0.0018456532837357	2.733849880288881	32	0.004882050621494432	germline_SSC_or_pluripotency	promoter
ELK1	architectural	lacuna_at	2064	0.092098955620778	0.0833333333333333	0.0044699342798545	0.0044699342798545	3046420.0	0.0025471616990058	2.593943484264147	35	0.006527101853702362	architectural_universal	promoter
ETS1	architectural	lacuna_at	2646	0.0920474418230202	0.0833333333333333	0.0044184204820968	0.0044184204820968	3893175.0	0.0026576806071074	2.575497212597728	36	0.0066039336297820245	architectural_universal	promoter
YY1	architectural	lacuna_at	1593	0.091888167445563	0.0833333333333333	0.0042591461046396	0.0042591461046396	2356280.5	0.0033331912848017	2.4771397623820457	37	0.008038873098639394	architectural_universal	promoter
E2F4	architectural	lacuna_at	1225	0.093426285256041	0.0869565217391304	0.0057972639151175	0.0057972639151175	1819346.5	0.0034495434438719	2.462238381137719	38	0.008073782089650839	architectural_universal	promoter
ATF1	architectural	lacuna_at	1896	0.0923425701563353	0.0833333333333333	0.0047135488154118	0.0047135488154118	2796649.5	0.0035445872588711	2.4504343279366463	39	0.008073782089650839	architectural_universal	promoter
NR5A2	pachytene	lacuna_at	1713	0.0923615539427703	0.0833333333333333	0.0047325326018469	0.0047325326018469	2526822.0	0.004488899995454	2.347860069783525	41	0.009948372962898053	dev_gene_associated	promoter
TBX2	other	lacuna_at	2222	0.0920680695024251	0.0833333333333333	0.0044390481615017	0.0044390481615017	3263043.0	0.0055916724412929	2.252458277374241	42	0.012066240531210993	dev_gene_associated	promoter
EOMES	other	lacuna_at	1501	0.092183938866886	0.0833333333333333	0.0045549175259625	0.0045549175259625	2214030.5	0.0061558789147474	2.210709931266517	44	0.01294313002587915	dev_gene_associated	promoter
NR5A1	sertoli	lacuna_at	1396	0.091765648618468	0.0833333333333333	0.0041366272775445	0.0041366272775445	2055948.0	0.0091921696783677	2.036581967598854	45	0.018843947840653786	dev_gene_associated	promoter
CREB1	architectural	lacuna_at	1317	0.0920578781726263	0.0833333333333333	0.0044288568317028	0.0044288568317028	1939325.0	0.010608941317033	1.974327952866892	46	0.021217882634066	architectural_universal	promoter
NFE2L2	other	lacuna_at	663	0.0930009859440698	0.0833333333333333	0.0053719646031464	0.0053719646031464	987882.0	0.0113103621699442	1.9465234882761364	47	0.022082135665129152	architectural_universal	promoter
FLI1	endothelial	lacuna_at	2073	0.0911497589909302	0.0833333333333333	0.0035207376500068	0.0035207376500068	3028788.5	0.0149779052517621	1.824548921029996	48	0.028562516991732376	dev_gene_associated	promoter
MYB	other	lacuna_at	1445	0.0916178875214996	0.0869565217391304	0.0039888661805762	0.0039888661805762	2116659.0	0.0185858963524891	1.7308164890986468	49	0.034637352293275143	germline_late_active	promoter
MTF1	other	lacuna_at	658	0.0939577557339628	0.0833333333333333	0.0063287343930393	0.0063287343930393	973124.0	0.0251447313348211	1.599553000346415	50	0.04581928821011845	architectural_universal	promoter
TBX21	other	lacuna_at	1158	0.0920829038858661	0.0833333333333333	0.0044538825449427	0.0044538825449427	1696172.0	0.0268727326110166	1.5706881691624897	52	0.04790356682833393	dev_gene_associated	promoter
GATA4	sertoli	lacuna_at	1106	0.0917169909143443	0.0833333333333333	0.0040879695734209	0.0040879695734209	1618693.0	0.0317053266419718	1.4988677681646028	53	0.05531567626897208	somatic	promoter
CREM	spermatid	lacuna_at	1564	0.0905889620705507	0.081081081081081	0.0029599407296273	0.0029599407296273	2276703.5	0.0373421547523534	1.42780062559269	54	0.06379284770193705	germline_late_active	promoter
SOX2	pioneer	lacuna_at	1628	0.0896583908795682	0.0833333333333333	0.0020293695386447	0.0020293695386447	2354097.5	0.0774082345701536	1.1112128372737615	59	0.12954031091331827	germline_SSC_or_pluripotency	promoter
JUN	architectural	lacuna_at	549	0.0903410110700754	0.0833333333333333	0.002711989729152	0.002711989729152	803432.5	0.07941648198066	1.100089355376226	60	0.1299624458424413	architectural_universal	promoter
DMRT1	diff_SPG	lacuna_at	458	0.0916678038285861	0.0833333333333333	0.0040387824876626	0.0040387824876626	671942.5	0.0815837340693314	1.088396421002339	61	0.1299624458424413	germline_SSC_or_pluripotency	promoter
HSF2	pachytene	lacuna_at	207	0.0919654323545691	0.0909090909090909	0.0043364110136456	0.0043364110136456	308705.5	0.0824152095586213	1.0839926327466358	62	0.1299624458424413	germline_late_active	promoter
NKX2-5	other	lacuna_at	1487	0.0898310613664906	0.081081081081081	0.0022020400255671	0.0022020400255671	2147910.5	0.0930122440806112	1.031459877396266	63	0.1439057361247192	somatic	promoter
GATA3	shared_GATA	lacuna_at	1113	0.0896798881022223	0.081081081081081	0.0020508667612989	0.0020508667612989	1609972.0	0.1022949296256286	0.990145892096081	66	0.15533674498706565	somatic	promoter
POU5F1	pioneer	lacuna_at	1070	0.0913040401696843	0.08	0.0036750188287608	0.0036750188287608	1544931.5	0.1230572560017128	0.9098927732769272	68	0.1807321994163493	germline_SSC_or_pluripotency	promoter
ATF4	other	lacuna_at	320	0.0921780897857569	0.0833333333333333	0.0045490684448335	0.0045490684448335	468975.0	0.1234268678940922	0.9085902916153488	69	0.1807321994163493	architectural_universal	promoter
GATA1	sertoli	lacuna_at	1175	0.0888615314062503	0.08	0.0012325100653269	0.0012325100653269	1682647.5	0.2175003488907672	0.6625400420600865	74	0.31289523875513875	somatic	promoter
NKX6-1	neg_control	lacuna_at	676	0.0892187548927451	0.08	0.0015897335518216	0.0015897335518216	970290.0	0.2333936221097561	0.6319110159872412	75	0.3299702933275862	neg_control	promoter
